"id","name","readonly","readwrite","requirement"
"HDCEA__c","Hexadecenoate (n-C16:1)","","x","x"
"HDECEG3P__c","1-hexadecanoyl-sn-glycerol 3-phosphate","","x","x"
"HDECG3P__c","1-hexadec-9-enoyl-sn-glycerol 3-phosphate","","x","x"
"HIS__c","L-Histidine","","x","x"
"HisHis__c","L-histidyl-L-histidine","","x","x"
"hm3dC__c","3'-hydroxymethyl-2'-deoxycytidine","","x","x"
"hm3dCMP__c","3'-hydroxymethyl-2'-deoxycytidine monophosphate","","x","x"
"hm5dC__c","5'-hydroxymethyl-2'-deoxycytidine","","x","x"
"hm5dCMP__c","5'-hydroxymethyl-2'-deoxycytidine monophosphate","","x","x"
"hm5dU__c","5-hydroxymethyl-2'-deoxyuridine","","x","x"
"hm5dUMP__c","5-hydroxymethyl-2'-deoxyuridine monophosphate","","x","x"
"hm5hydantoin_dRibose__c","2'-deoxy-3'-(5-hydroxy-5-methyl-hydantoin)-ribose","","x","x"
"hm5hydantoin_dRiboseMP__c","2'-deoxy-3'-(5-hydroxy-5-methyl-hydantoin)-ribose monophosphate","","x","x"
"ho5dC__c","5-Hydroxy-2'-deoxycytidine","","x","x"
"ho5dCMP__c","5-Hydroxy-2'-deoxycytidine monophosphate","","x","x"
"ho5dU__c","5-hydroxy-2'-deoxyuridine","","x","x"
"ho5dUMP__c","5-hydroxy-2'-deoxyuridine monophosphate","","x","x"
"ho5ho6dT__c","5-hydroxy-6-hydroxy-2'-deoxythymidine","","x","x"
"ho5ho6dTMP__c","5-hydroxy-6-hydroxy-2'-deoxythymidine monophosphate","","x","x"
"ho5ho6dU__c","5-hydroxy-6-hydroxy-2'-deoxyuridine","","x","x"
"ho5ho6dUMP__c","5-hydroxy-6-hydroxy-2'-deoxyuridine monophosphate","","x","x"
"ho5hydantoin_dRibose__c","2'-deoxy-3'-(5-hydroxyhydantoin)-ribose","","x","x"
"ho5hydantoin_dRiboseMP__c","2'-deoxy-3'-(5-hydroxyhydantoin)-ribose monophosphate","","x","x"
"HPHPYR__c","3-(4-Hydroxyphenyl)pyruvate","","x","x"
"hydride__c","hydride","","x","x"
"hydroxyl_radical__c","hydroxyl radical","","x","x"
"HYXN__c","hypoxanthine","","x","x"
"IDP__c","IDP","","x","x"
"ILE__c","L-Isoleucine","","x","x"
"IleIle__c","L-isoleucyl-L-isoleucine","","x","x"
"IMP__c","IMP","","x","x"
"INOS__c","myo-inositol","","x","x"
"INS__c","inosine","","x","x"
"ITP__c","ITP","","x","x"
"K__c","potassium ion","","x","x"
"k2C__c","lysidine","","x","x"
"k2CMP__c","lysidine monophosphate","","x","x"
"LAC__c","D-lactate","","x","x"
"LEU__c","L-Leucine","","x","x"
"LeuLeu__c","L-leucyl-L-leucine","","x","x"
"LIPOATE__c","lipoate","","x","x"
"LIPOYLAMP__c","lipoyl-AMP","","x","x"
"LIPOYLLYS__c","N(6)-(lipoyl)lysine","","x","x"
"lomefloxacin__c","Lomefloxacin","","x","x"
"LYS__c","L-Lysine","","x","x"
"LysLys__c","L-lysyl-L-lysine","","x","x"
"m1dA__c","1-methyl-2'-deoxyadenosine","","x","x"
"m1dAMP__c","1-methyl-2'-deoxyadenosine monophosphate","","x","x"
"m1dG__c","1-methyl-2'-deoxyguanosine","","x","x"
"m1dGMP__c","1-methyl-2'-deoxyguanosine monophosphate","","x","x"
"m1G__c","1-methylguanosine","","x","x"
"m1GMP__c","1-methylguanosine monophosphate","","x","x"
"m2G__c","N(2)-methylguanosine","","x","x"
"m2GMP__c","N(2)-methylguanosine monophosphate","","x","x"
"m3dA__c","3-methyl-2'-deoxyadenosine","","x","x"
"m3dAMP__c","3-methyl-2'-deoxyadenosine monophosphate","","x","x"
"m3dC__c","3-methyl-2'-deoxycytidine","","x","x"
"m3dCMP__c","3-methyl-2'-deoxycytidine monophosphate","","x","x"
"m3dG__c","3-methyl-2'-deoxyguanosine","","x","x"
"m3dGMP__c","3-methyl-2'-deoxyguanosine monophosphate","","x","x"
"m3dT__c","3'-methyl-2'-deoxythymidine","","x","x"
"m3dTMP__c","3'-methyl-2'-deoxythymidine monophosphate","","x","x"
"m4dC__c","4-methyl-2'-deoxycytidine","","x","x"
"m4dCMP__c","4-methyl-2'-deoxycytidine monophosphate","","x","x"
"m5C__c","5-methylcytidine","","x","x"
"m5CMP__c","5-methylcytidine monophosphate","","x","x"
"m5dC__c","5-methyl-2'-deoxycytidine","","x","x"
"m5dCMP__c","5-methyl-2'-deoxycytidine monophosphate","","x","x"
"m62A__c","N6,N6-dimethyladenosine","","x","x"
"m62AMP__c","N6,N6-dimethyladenosine monophosphate","","x","x"
"m6A__c","N(6)-methyladenine","","x","x"
"m6AMP__c","N(6)-methyladenine monophosphate","","x","x"
"m6dA__c","6-methyl-2'-deoxyadenosine","","x","x"
"m6dAMP__c","6-methyl-2'-deoxyadenosine monophosphate","","x","x"
"m7dA__c","7-methyl-2'-deoxyadenosine","","x","x"
"m7dAMP__c","7-methyl-2'-deoxyadenosine monophosphate","","x","x"
"m7dG__c","7-methyl-2'-deoxyguanosine","","x","x"
"m7dGMP__c","7-methyl-2'-deoxyguanosine monophosphate","","x","x"
"m7G__c","7-methylguanosine","","x","x"
"m7GMP__c","7-methylguanosine monophosphate","","x","x"
"m8dG__c","8-methyl-2'-deoxyguanosine","","x","x"
"m8dGMP__c","8-methyl-2'-deoxyguanosine monophosphate","","x","x"
"MAL__c","L-Malate","","x","x"
"MAN__c","D-Mannose","","x","x"
"MAN1P__c","D-Mannose 1-phosphate","","x","x"
"MAN6P__c","D-Mannose 6-phosphate","","x","x"
"MET__c","L-Methionine","","x","x"
"METHF__c","5,10-methyltetrahydrofolate","","x","x"
"methylRed__c","4′-dimethylaminoazobenzene-2-carboxylic acid","","x","x"
"METHYL_OCDCEA__c","methyl oleate","","x","x"
"MetMet__c","L-methionyl-L-methionine","","x","x"
"METSOXRL__c","L-Methionine-R-Sulfoxide","","x","x"
"METSOXSL__c","L-Methionine-S-Sulfoxide","","x","x"
"METTHF__c","5,10-Methylenetetrahydrofolate","","x","x"
"MG__c","magnesium ion","","x","x"
"MN__c","manganese ion","","x","x"
"MO__c","molybdenum ion","","x","x"
"MOBD__c","Molybdate","","x","x"
